,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level
1953,0.1666666666666669,0.2170542635658914,0.2789485610695671,0.5290519877675841,0.240320427236315,0.5483870967741935,0.2640562248995984,0.1774193548387096,0.0666666666666666,0.2480620155038759,0.0625,0.374015748031496,0.5,0.2352941176470588,2
1961,0.1666666666666669,0.3178294573643411,0.3437570813505551,0.7339449541284404,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.2096774193548386,0.0666666666666666,0.2480620155038759,0.0625,0.3661417322834646,0.5,0.2352941176470588,2
1966,0.1666666666666669,0.3720930232558139,0.3970088375254929,0.72782874617737,0.9372496662216288,0.5483870967741935,0.2640562248995984,0.2580645161290321,0.0666666666666666,0.2480620155038759,0.0625,0.2795275590551181,0.5,0.2352941176470588,2
2027,0.1666666666666669,0.6666666666666666,0.5583503285746658,0.6100917431192661,0.2149532710280373,0.5483870967741935,0.2640562248995984,0.1451612903225806,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0118110236220472,0.0,0.0,1
2053,0.1666666666666669,0.6046511627906976,0.5064581917063222,0.5963302752293579,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.1290322580645161,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0078740157480314,1.0,0.0,1
2060,0.1666666666666669,0.4961240310077519,0.5257194652164061,0.6162079510703364,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.1129032258064516,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0118110236220472,1.0,0.0,1
2069,0.1666666666666669,0.4573643410852713,0.4842510763652844,0.6162079510703364,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.1451612903225806,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0236220472440944,0.25,0.0,1
2076,0.1666666666666669,0.4263565891472868,0.4477679583050079,0.6162079510703364,0.9425901201602136,0.5483870967741935,0.2640562248995984,0.1451612903225806,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
2086,0.1666666666666669,0.4961240310077519,0.5230002266032178,0.6529051987767585,0.3137516688918558,0.5483870967741935,0.2640562248995984,0.1451612903225806,0.0333333333333333,0.9999999999999998,0.0124999999999999,0.0590551181102362,1.0,0.0588235294117647,1
2135,0.1666666666666669,0.6589147286821705,0.5499660095173352,0.5978593272171254,0.2149532710280373,0.5483870967741935,0.2640562248995984,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0157480314960629,0.5,0.0,1
2139,0.1666666666666669,0.6821705426356589,0.5717199184228416,0.6941896024464832,0.2202937249666222,0.5483870967741935,0.2640562248995984,0.1612903225806451,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0118110236220472,0.5,0.0,1
2182,0.1666666666666669,0.5581395348837209,0.5882619533197372,0.6146788990825689,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.2258064516129031,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0078740157480314,1.0,0.0,1
2190,0.1666666666666669,0.4883720930232558,0.5164287332880128,0.573394495412844,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.1935483870967741,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0157480314960629,1.0,0.0,1
2216,0.1666666666666669,0.2868217054263566,0.4314525266258781,0.6865443425076453,0.9532710280373832,0.5483870967741935,0.2640562248995984,0.2419354838709676,0.1333333333333333,0.9999999999999998,0.0999999999999999,0.0354330708661417,0.5,0.0,1
2239,0.1666666666666669,0.4186046511627906,0.6276909132109676,0.5764525993883792,0.7636849132176233,0.5483870967741935,0.2640562248995984,0.1935483870967741,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0118110236220472,1.0,0.0588235294117647,1
2263,0.1666666666666669,0.1860465116279069,0.4502605937004305,0.7951070336391438,0.8945260347129504,0.5483870967741935,0.2640562248995984,0.1935483870967741,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.405511811023622,1.0,0.0,1
2275,0.1666666666666669,0.1860465116279069,0.4500339904826648,0.6788990825688074,0.308411214953271,0.5483870967741935,0.2640562248995984,0.2419354838709676,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.4094488188976378,1.0,0.3529411764705882,2
2289,0.1666666666666669,0.4651162790697674,0.5010197144799456,0.691131498470948,0.2510013351134846,0.5483870967741935,0.2640562248995984,0.2419354838709676,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0393700787401574,1.0,0.0,1
2294,0.1666666666666669,0.5038759689922481,0.5381826421935192,0.7018348623853211,0.308411214953271,0.5483870967741935,0.2640562248995984,0.2096774193548386,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0078740157480314,1.0,0.0,1
2307,0.1666666666666669,0.5193798449612403,0.4398368456832087,0.6834862385321101,0.1882510013351134,0.5483870967741935,0.2640562248995984,0.2258064516129031,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0,1.0,0.0,1
2363,0.1666666666666669,0.7054263565891473,0.590527985497394,0.6162079510703364,0.3711615487316421,0.5483870967741935,0.2640562248995984,0.1290322580645161,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0629921259842519,0.75,0.0,2
2379,0.1666666666666669,0.5581395348837209,0.5875821436664401,0.5504587155963303,0.90520694259012,0.5483870967741935,0.2640562248995984,0.1774193548387096,0.1333333333333333,0.3720930232558138,0.0999999999999999,0.0275590551181102,1.0,0.0,1
