,observation_hour,speed,rpm,acceleration,throttle_position,engine_temperature,distance_travelled,engine_load_value,heart_rate,current_weather,visibility,precipitation,accidents_onsite,design_speed,accidents_time,risk_level,risk_level_train,risk_propagation_pred,risk_spreading_pred
70,18,0.0,603.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
71,18,0.0,602.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
72,18,0.0,602.0,0.0,12.9,93.0,0.0,24.3,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
73,18,0.0,601.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
74,18,0.0,604.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
75,18,0.0,603.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
76,18,0.0,604.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
77,18,0.0,607.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
78,18,0.0,600.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
79,18,0.0,601.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
80,18,0.0,604.0,0.0,12.9,93.0,0.0,24.3,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
81,18,0.0,606.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
82,18,0.0,601.0,0.0,12.9,93.0,0.0,25.1,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
83,18,0.0,604.0,0.0,12.9,93.0,0.0,24.7,69.0,6,8.0,2.2,9.0,70.0,0.0,2,2,2,2
84,18,0.0,609.0,0.0,12.9,93.0,0.0,24.3,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
85,18,0.0,599.0,0.0,12.9,93.0,0.0,25.9,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
86,18,0.0,600.0,0.0,12.9,93.0,0.0,26.3,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
87,18,1.0,604.0,0.0,12.5,93.0,0.0003,24.3,69.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
88,18,2.0,757.0,0.31,14.1,93.0,0.0004,32.2,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,1,1
89,18,2.0,764.0,-0.25,14.1,94.0,0.0006,28.2,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,1,1
90,18,2.0,823.0,-0.25,14.1,94.0,0.0003999999999999,29.8,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,1,2
91,18,1.0,754.0,-0.46,12.9,94.0,0.0001,24.7,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,1,1
92,18,1.0,649.0,-0.48,14.9,94.0,0.0001,42.4,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,2,2
93,18,1.0,769.0,-0.24,13.3,94.0,0.0001,39.6,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,1,1
94,18,2.0,910.0,-0.24,31.0,94.0,9.999999999999984e-05,76.5,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,1,1
95,18,7.0,1051.0,1.04,17.3,94.0,0.0017,59.2,70.0,6,8.0,2.2,9.0,70.0,0.0,2,-1,1,1
96,18,11.0,1661.0,0.96,20.4,94.0,0.0029,64.7,73.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
97,18,16.0,2351.0,1.2,24.3,94.0,0.0036,70.2,73.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
98,18,18.0,2690.0,1.19,20.0,94.0,0.0037,38.4,73.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
99,18,20.0,2616.0,0.6,33.3,94.0,0.0058,69.0,73.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
100,18,25.0,2052.0,0.79,31.4,94.0,0.0075,90.2,74.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
101,18,29.0,2404.0,0.97,31.8,94.0,0.0086999999999999,86.7,74.0,6,8.0,2.2,10.0,70.0,0.0,1,-1,1,1
102,18,32.0,2695.0,1.06,46.3,94.0,0.0067,89.8,74.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
103,18,34.0,1890.0,0.38,47.8,94.0,0.0109,87.5,74.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
104,18,36.0,1847.0,0.52,50.6,94.0,0.008,90.2,74.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
105,18,36.0,1894.0,0.0,15.7,94.0,0.0127,20.4,74.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
106,18,38.0,1941.0,0.23,25.9,94.0,0.0094999999999999,74.1,74.0,6,8.0,2.2,9.0,70.0,0.0,1,-1,1,1
107,18,39.0,2005.0,0.44,19.2,94.0,0.0104999999999999,42.0,74.0,6,8.0,2.2,10.0,70.0,0.0,1,-1,1,1
108,18,39.0,2039.0,0.0,16.5,94.0,0.0097,23.1,74.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
109,18,38.0,2051.0,-0.19,16.1,93.0,0.0121,20.0,74.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
110,18,38.0,1997.0,-0.24,16.5,93.0,0.0094,22.4,73.0,6,8.0,2.2,13.0,70.0,0.0,1,-1,1,1
111,18,38.0,2034.0,-0.24,21.2,93.0,0.0116,53.3,73.0,6,8.0,2.2,12.0,70.0,0.0,1,-1,1,1
112,18,39.0,2005.0,0.22,18.8,93.0,0.0105,33.3,73.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
113,18,39.0,2034.0,0.24,20.8,93.0,0.0093999999999999,54.9,73.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
114,18,40.0,2092.0,0.24,23.1,93.0,0.0126999999999999,58.0,73.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
115,18,40.0,2083.0,0.0,16.5,93.0,0.0099,22.7,73.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
116,18,39.0,2070.0,-0.25,16.5,93.0,0.0121999999999999,22.4,72.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
117,18,38.0,2003.0,-1.14,16.5,93.0,0.0093999999999999,23.1,72.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
118,18,32.0,1716.0,-1.37,15.7,92.0,0.0042999999999999,22.7,72.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
119,18,31.0,1605.0,-1.19,15.3,92.0,0.011,22.7,72.0,6,8.0,2.2,11.0,70.0,0.0,1,-1,1,1
120,18,30.0,1560.0,0.66,20.0,91.0,0.0083,70.6,71.0,6,8.0,2.2,12.0,70.0,0.0,1,-1,1,1
121,18,32.0,1656.0,0.66,22.0,91.0,0.0108,60.0,71.0,6,8.0,2.2,12.0,70.0,1.0,2,-1,1,1
122,18,35.0,1783.0,0.67,49.8,91.0,0.009,90.6,71.0,6,8.0,2.2,12.0,70.0,1.0,2,-1,1,1
123,18,37.0,1919.0,0.71,34.9,91.0,0.0088,91.0,71.0,6,8.0,2.2,12.0,70.0,1.0,2,-1,1,1
124,18,39.0,1986.0,0.69,26.3,91.0,0.0067999999999999,65.5,72.0,6,8.0,2.2,12.0,70.0,1.0,2,-1,1,1
125,18,43.0,2212.0,0.69,21.6,90.0,0.0176,52.2,72.0,6,8.0,2.2,12.0,70.0,1.0,2,-1,1,1
126,18,45.0,2328.0,0.49,33.3,90.0,0.0104,88.6,72.0,6,8.0,2.2,12.0,70.0,1.0,2,-1,1,1
127,18,49.0,2516.0,0.96,56.9,90.0,0.0127999999999999,89.8,72.0,6,8.0,2.2,8.0,70.0,1.0,1,-1,1,1
128,18,51.0,2611.0,0.47,19.6,90.0,0.016,28.2,72.0,6,8.0,2.2,8.0,70.0,1.0,1,-1,1,1
129,18,51.0,2676.0,0.23,21.6,90.0,0.0099,43.5,72.0,6,8.0,2.2,8.0,70.0,1.0,1,-1,1,1
130,18,52.0,2689.0,0.16,18.4,90.0,0.0187999999999999,24.7,72.0,6,8.0,2.2,8.0,70.0,1.0,1,-1,1,1
131,18,52.0,2713.0,0.0,20.4,90.0,0.0123999999999999,34.9,72.0,6,8.0,2.2,8.0,70.0,1.0,1,-1,1,1
132,18,53.0,2756.0,0.24,20.4,90.0,0.0173,35.3,71.0,6,8.0,2.2,9.0,70.0,1.0,2,2,1,1
133,18,53.0,2784.0,-0.23,19.6,90.0,0.0128999999999999,30.2,71.0,6,8.0,2.2,9.0,70.0,1.0,2,-1,1,1
134,18,53.0,2776.0,0.17,20.4,90.0,0.0142,32.5,71.0,6,8.0,2.2,9.0,70.0,1.0,2,-1,1,1
135,18,54.0,2788.0,0.17,20.0,90.0,0.0181999999999999,32.2,71.0,6,8.0,2.2,9.0,70.0,3.0,2,-1,1,1
136,18,54.0,2780.0,-0.24,18.8,89.0,0.0134999999999999,20.4,71.0,6,8.0,2.2,8.0,70.0,3.0,2,-1,1,1
137,18,53.0,2744.0,-0.44,18.4,88.0,0.0134,25.1,70.0,6,8.0,2.2,26.0,70.0,3.0,2,-1,1,1
138,18,52.0,2709.0,-0.62,18.0,88.0,0.0136,25.1,70.0,6,8.0,2.2,26.0,70.0,3.0,2,-1,1,1
